algorithm,n,length,time
hash,5200,27,7.0625
hash,5200,27,7.9793
hash,5200,27,8.0603
hash,5200,27,8.094
hash,5200,27,8.006
hash,5300,27,6.693
hash,5300,27,8.2693
hash,5300,27,8.6595
hash,5300,27,8.5895
hash,5300,27,8.6533
hash,5400,27,7.0195
hash,5400,27,7.1492
hash,5400,27,6.7773
hash,5400,27,7.4664
hash,5400,27,7.4004
hash,5500,44,16.1224
hash,5500,44,16.1005
hash,5500,44,16.2429
hash,5500,44,16.4138
hash,5500,44,16.2757
hash,5600,44,17.9788
hash,5600,44,19.0456
hash,5600,44,18.1289
hash,5600,44,18.7993
hash,5600,44,18.325
hash,5700,44,7.6897
hash,5700,44,7.6996
hash,5700,44,7.7485
hash,5700,44,8.6901
hash,5700,44,10.5166
hash,5800,44,8.2016
hash,5800,44,9.2279
hash,5800,44,11.898
hash,5800,44,17.7764
hash,5800,44,17.7673
hash,5900,44,8.3264
hash,5900,44,8.7154
hash,5900,44,8.3849
hash,5900,44,8.9722
hash,5900,44,8.6969
hash,6000,44,20.3847
hash,6000,44,15.2519
hash,6000,44,15.2456
hash,6000,44,10.7669
hash,6000,44,8.503
hash,6100,44,7.6729
hash,6100,44,8.2827
hash,6100,44,8.2885
hash,6100,44,8.7577
hash,6100,44,8.6199
hash,6200,44,8.9556
hash,6200,44,9.2626
hash,6200,44,8.5762
hash,6200,44,9.725
hash,6200,44,9.6308
hash,6300,44,8.8339
hash,6300,44,9.1789
hash,6300,44,19.7129
hash,6300,44,9.5701
hash,6300,44,9.0562
hash,6400,44,8.5999
hash,6400,44,8.9361
hash,6400,44,8.9282
hash,6400,44,8.9129
hash,6400,44,9.4251
hash,6500,44,8.6357
hash,6500,44,11.5855
hash,6500,44,11.5827
hash,6500,44,16.587
hash,6500,44,9.1137
hash,6600,44,8.1517
hash,6600,44,8.4453
hash,6600,44,8.467
hash,6600,44,8.4561
hash,6600,44,8.4126
hash,6700,44,9.5833
hash,6700,44,10.1972
hash,6700,44,10.0487
hash,6700,44,12.3399
hash,6700,44,9.9727
hash,6800,44,9.0585
hash,6800,44,10.6065
hash,6800,44,10.6114
hash,6800,44,11.2595
hash,6800,44,12.1423
hash,6900,44,9.2162
hash,6900,44,12.0803
hash,6900,44,14.4552
hash,6900,44,14.3515
hash,6900,44,14.3826
hash,7000,44,9.4575
hash,7000,44,9.6274
hash,7000,44,9.8136
hash,7000,44,9.6735
hash,7000,44,10.1625
hash,7100,44,10.8122
hash,7100,44,9.8649
hash,7100,44,11.6203
hash,7100,44,10.5946
hash,7100,44,10.5456
hash,7200,44,9.635
hash,7200,44,14.2408
hash,7200,44,14.2421
hash,7200,44,14.242
hash,7200,44,14.2039
hash,7300,44,9.7998
hash,7300,44,15.5461
hash,7300,44,10.2581
hash,7300,44,10.6535
hash,7300,44,10.5523
hash,7400,44,9.9402
hash,7400,44,13.1798
hash,7400,44,13.2952
hash,7400,44,13.2951
hash,7400,44,13.2518
hash,7500,44,10.3317
hash,7500,44,10.3515
